name,category,original_price,discounted_price,discount_percentage,platform
Zwitsal Baby Bath Hair & Body Antibacterial 200mL,Baby Hair & Body Wash,Rp 24.900,18.700,25%,www.klikindomaret.com
Zwitsal Baby Hair Lotion Natural Sweet Almond & Vit E 100mL,Perlengkapan Bayi,31.500,31.500,0%,www.klikindomaret.com
Zwitsal Kids Hair Lotion Spray Green Natural & Nourish 100mL,"Kids Cologne, Oil, Lotion & Cream",Rp 23.900,17.925,25%,www.klikindomaret.com
Zwitsal Baby Bath Hair & Body Antibacterial 400mL,Baby Hair & Body Wash,39.900,39.900,0%,www.klikindomaret.com
Zwitsal Face & Body Care Cream 50G,"Baby Cologne, Oil, Lotion & Cream",24.500,24.500,0%,www.klikindomaret.com
Zwitsal Eau De Toilette 100mL,Cologne & Parfum,36.800,36.800,0%,www.klikindomaret.com
Zwitsal Kids Bubble Bath Clean & Fresh 280Ml,Kids Hair & Body Wash,Rp 30.900,23.175,25%,www.klikindomaret.com
Zwitsal Kids Shampoo Pink Soft & Moisture 180Ml,Kids Hair & Body Wash,Rp 22.500,16.875,25%,www.klikindomaret.com
Zwitsal Kids Shampoo Blue Clean & Fresh 180Ml,Perlengkapan Anak,Rp 22.500,16.875,25%,www.klikindomaret.com
Zwitsal Baby Bath Natural Milky Honey 400mL,Baby Hair & Body Wash,39.900,39.900,0%,www.klikindomaret.com
Zwitsal Baby Bath Natural 2 In 1 Hair & Body 300Ml,Perlengkapan Bayi,Rp 39.900,29.925,25%,www.klikindomaret.com
Zwitsal Baby Sabun Mandi Batang Natural Rich Honey 70G,Perlengkapan Bayi,7.900,7.900,0%,www.klikindomaret.com
Zwitsal Baby Cologne Canola Oil Floral Kisses 100mL,"Baby Cologne, Oil, Lotion & Cream",Rp 26.500,19.875,25%,www.klikindomaret.com
Zwitsal Baby Hair Lotion Natural Aloe Vera Kemiri Seledri 200Ml,"Baby Cologne, Oil, Lotion & Cream",Rp 49.500,37.125,25%,www.klikindomaret.com
Zwitsal Baby Sabun Mandi Cair Natural H&B Aloe Vera 200mL,Perlengkapan Bayi,Rp 24.900,18.700,25%,www.klikindomaret.com
Zwitsal Baby Hair Lotion Aloe Vera Kemiri Seledri 100Ml,Perlengkapan Bayi,29.900,29.900,0%,www.klikindomaret.com
Zwitsal Baby Sabun Mandi Cair Natural H&B Aloe Vera 400mL,Perlengkapan Bayi,39.900,39.900,0%,www.klikindomaret.com
Zwitsal Baby Sabun Mandi Cair Natural Milk Honey 200Ml,Perlengkapan Bayi,Rp 24.900,18.700,25%,www.klikindomaret.com
Zwitsal Baby Shampoo Natural 100Ml,Baby Hair & Body Wash,19.200,19.200,0%,www.klikindomaret.com
Buavita Juice Slim Korean White Peach 245mL,Jus,10.500,10.500,0%,www.klikindomaret.com
Royco Saus Tiram 135mL,Cooking Sauce,10.900,10.900,0%,www.klikindomaret.com
Royco Bumbu Kaldu Ayam Spesial 40G,Bumbu Instan,5.000,5.000,0%,www.klikindomaret.com
Bango Kecap Manis Refill 735mL,Kecap,34.200,34.200,0%,www.klikindomaret.com
Buavita Juice Orange 1000Ml,Jus,29.300,29.300,0%,www.klikindomaret.com
Bango Kecap Manis Less Sugar 520mL,Kecap,26.500,26.500,0%,www.klikindomaret.com
Royco Bumbu Pelezat Serbaguna Sapi 6X9g,Garam & Bumbu,3.800,3.800,0%,www.klikindomaret.com
Royco Bumbu Pelezat Serbaguna Ayam 6X9g,Garam & Bumbu,3.800,3.800,0%,www.klikindomaret.com
Jawara Cabai Tabur Jambal 30g,Bumbu Tradisional,9.000,9.000,0%,www.klikindomaret.com
Jawara Cabai Tabur Bawang Goreng 35g,Bumbu Tradisional,9.000,9.000,0%,www.klikindomaret.com
Royco Bumbu Kaldu Jamur 40G,Bumbu Instan,5.300,5.300,0%,www.klikindomaret.com
Royco Bumbu Pelezat Serbaguna Ayam 460g,Garam & Bumbu,18.300,18.300,0%,www.klikindomaret.com
Sariwangi Teh Celup Asli 30X1.85G,Teh Celup,8.200,8.200,0%,www.klikindomaret.com
Jawara Saus Sambal Hot 120Ml,Kecap & Saus,7.700,7.700,0%,www.klikindomaret.com
Royco Bumbu Siap Pakai Ayam Saus Telur Asin 22G,Bumbu Instan,7.500,7.500,0%,www.klikindomaret.com
Sariwangi Teh Celup Hijau Asli 25X1.85G,Teh Celup,11.500,11.500,0%,www.klikindomaret.com
Royco Sup Krim Kepiting & Jagung 44G,Bumbu Masak,9.500,9.500,0%,www.klikindomaret.com
Jawara Saus Sambal Extra Hot 120mL,Kecap & Saus,7.700,7.700,0%,www.klikindomaret.com
Royco Bumbu Kaldu Ayam 220G,Garam & Bumbu,11.700,11.700,0%,www.klikindomaret.com
Royco Bumbu Kaldu Sapi 220G,Garam & Bumbu,11.500,11.500,0%,www.klikindomaret.com
Buavita Guava 500Ml,Jus,Rp 15.900,12.900,19%,www.klikindomaret.com
Sariwangi Teh Melati 25 Teh Celup,Teh Celup,9.600,9.600,0%,www.klikindomaret.com
Lipton Teh Celup Stl Enveloped 25's English Breakfast 60G,Teh Celup,Rp 54.700,40.900,25%,www.klikindomaret.com
Lipton Teh Celup Stl Enveloped 25's Chamomile 25G,Teh Celup,Rp 54.700,40.900,25%,www.klikindomaret.com
Royco Bumbu Dasar Ayam Kuning 600g,Garam & Bumbu,42.000,42.000,0%,www.klikindomaret.com
Buavita Guava 1L,Jus,29.300,29.300,0%,www.klikindomaret.com
Buavita Juice Mango 1000Ml,Jus,29.300,29.300,0%,www.klikindomaret.com
Buavita Juice Slim Lychee 245mL,Jus,8.700,8.700,0%,www.klikindomaret.com
Buavita Juice Slim Apple 245mL,Jus,8.700,8.700,0%,www.klikindomaret.com
Buavita Orange 250Ml,Jus,8.700,8.700,0%,www.klikindomaret.com
Sariwangi Teh Celup Asli 50X1.9G,Teh Celup,13.300,13.300,0%,www.klikindomaret.com
Royco Sup Krim Ayam 58G,Sup Instan,9.100,9.100,0%,www.klikindomaret.com
Buavita Jus Buah Jambu 245mL,Jus,8.700,8.700,0%,www.klikindomaret.com
Bango Kecap Manis Refill 210mL,Kecap,12.500,12.500,0%,www.klikindomaret.com
Royco Bumbu Kaldu Ayam 100G,Garam & Bumbu,5.900,5.900,0%,www.klikindomaret.com
Buavita Jus Buah Asli Mangga 245mL,Jus,8.700,8.700,0%,www.klikindomaret.com
Sariwangi Teh Celup Sari Murni 25X1.6G,Teh Celup,7.200,7.200,0%,www.klikindomaret.com
Bango Kecap Manis 135mL,Kecap,11.200,11.200,0%,www.klikindomaret.com
Bango Kecap Manis 520mL,Kecap,26.500,26.500,0%,www.klikindomaret.com
Royco Bumbu Kaldu Daging Sapi 94G,Garam & Bumbu,5.900,5.900,0%,www.klikindomaret.com
Bango Kecap Manis 275mL,Kecap,23.900,23.900,0%,www.klikindomaret.com
Wall's Ice Cream Magnum Mini Mix 6X45mL,Es Krim,55.000,55.000,0%,www.klikindomaret.com
Wall's Carte D'or Chocolate,Es Krim,75.000,75.000,0%,www.klikindomaret.com
Wall's Carte D'or Strawberry,Es Krim,75.000,75.000,0%,www.klikindomaret.com
Wall's Ice Cream Feast Pop Vanilla & Caramel 64mL,Es Krim,10.000,10.000,0%,www.klikindomaret.com
Wall's Ice Cream Selection Silverqueen 410mL,Es Krim,36.000,36.000,0%,www.klikindomaret.com
Wall's Ice Cream Magnum Cookies & Cream 80mL,Es Krim,20.000,20.000,0%,www.klikindomaret.com
Wall's Ice Cream Paddle Pop Milkie 56mL,Es Krim,4.500,4.500,0%,www.klikindomaret.com
Wall's Ice Cream Upin & Ipin 60mL,Es Krim,4.500,4.500,0%,www.klikindomaret.com
Wall's Ice Cream Mini Cornetto Oreo 12X28ml,Es Krim,36.000,36.000,0%,www.klikindomaret.com
Wall's Ice Cookies N Cream Oreo Vanila 90Ml,Es Krim Stick & Cup,8.500,8.500,0%,www.klikindomaret.com
Wall's Ice Cream Paddle Pop Minions Vanilla Caramel 90Ml,Es Krim,5.500,5.500,0%,www.klikindomaret.com
Wall's Ice Cream Magnum Double Choco 95mL,Es Krim Stick & Cup,20.000,20.000,0%,www.klikindomaret.com
Wall's Ice Cream Cornetto Junior Strawberry & Vanilla 80mL,Es Krim Stick & Cup,6.200,6.200,0%,www.klikindomaret.com
Wall's Ice Cream Solero Fruit Mangga 65mL,Es Krim,5.500,5.500,0%,www.klikindomaret.com
Wall's Ice Cream Feast Double Chocolate 75Ml,Es Krim Stick & Cup,7.500,7.500,0%,www.klikindomaret.com
Wall's Ice Cream Cornetto Disc Silver Queen 108Ml,Es Krim Stick & Cup,13.500,13.500,0%,www.klikindomaret.com
Wall's Ice Cream Paddle Pop Choco Lava 50mL,Es Krim Stick & Cup,4.000,4.000,0%,www.klikindomaret.com
Wall's Ice Cream Cornetto Disc Oreo 110Ml,Es Krim,13.500,13.500,0%,www.klikindomaret.com
Wall's Ice Cream Cornetto Junior Black & White 80mL,Es Krim,6.200,6.200,0%,www.klikindomaret.com
Wall's Ice Cream Magnum White Almond 80Ml,Es Krim Stick & Cup,18.500,18.500,0%,www.klikindomaret.com
Wall's Ice Cream Paddle Pop Monkey Banana Boat 42Ml,Es Krim,5.500,5.500,0%,www.klikindomaret.com
Wall's Ice Cream Neopolitana Extra Creamy 350Ml,Es Krim Stick & Cup,24.000,24.000,0%,www.klikindomaret.com
Wall's Ice Cream Mini Cornetto Disc Tramisu & Dark Chocolate 12X28ml,Es Krim,36.000,36.000,0%,www.klikindomaret.com
Wall's Ice Cream Magnum Almond 80mL,Es Krim,18.500,18.500,0%,www.klikindomaret.com
Wall's Ice Cream Feast Vanilla 65Ml,Es Krim,6.200,6.200,0%,www.klikindomaret.com
Wall's Ice Cream Feast Chocolate 65Ml,Es Krim,6.200,6.200,0%,www.klikindomaret.com
Wall's Ice Cream Cornetto Disc Chocolate 108mL,Es Krim,10.000,10.000,0%,www.klikindomaret.com
Wall's Ice Cream Selection Oreo Cookies & Cream 410mL,Es Krim,39.000,39.000,0%,www.klikindomaret.com
Wall's Ice Cream Magnum Classic 80mL,Es Krim,18.500,18.500,0%,www.klikindomaret.com
Wall's Ice Cream Paddle Pop Shaky Shake 140mL,Es Krim,10.500,10.500,0%,www.klikindomaret.com
Wall's Ice Cream Populaire Chocolate-Vanila 90Ml,Es Krim,5.000,5.000,0%,www.klikindomaret.com
Wall's Ice Cream Paddle Pop Rainbow Power 50mL,Es Krim,3.700,3.700,0%,www.klikindomaret.com
Wall's Ice Cream Populaire Strawbery-Vanila 90Ml,Es Krim,5.000,5.000,0%,www.klikindomaret.com
Citra Hand & Body Lotion Serum Protect Glow 180mL,Lotion,25.500,25.500,0%,www.klikindomaret.com
